Polymorphism name;Number of occurrences
homozygous_CYP2B6_star_1B;231
CYP2B6_star_27;231
homozygous_CYP2B6_star_1A;231
homozygous_CYP2B6_star_17B;231
CYP2B6_star_20;231
homozygous_CYP2B6_star_17A;231
CYP2B6_star_21;231
CYP2B6_star_22;231
CYP2B6_star_23;231
CYP2C19_star_12;231
CYP2C19_star_13;231
homozygous_ABCB1_star_13;0
CYP2C19_star_10;231
homozygous_BRCA1_1_hash;231
CYP2C19_star_11;231
CYP2C19_star_16;231
CYP2B6_star_4A;277
homozygous_CYP2A6_star_1B3;231
CYP2C19_star_17;261
homozygous_CYP2A6_star_1B4;231
CYP2C19_star_14;231
homozygous_CYP2A6_star_1B1;231
CYP2C19_star_15;232
homozygous_CYP2A6_star_1B2;231
SULT1A1_star_3;231
homozygous_CYP2A6_star_1B7;231
CYP2B6_star_4D;231
homozygous_CYP2A6_star_1B8;231
CYP2C19_star_18;231
CYP2B6_star_4C;231
SULT1A1_star_1;231
homozygous_CYP2A6_star_1B5;231
CYP2C19_star_19;231
CYP2B6_star_4B;231
SULT1A1_star_2;231
homozygous_CYP2A6_star_1B6;231
homozygous_CYP2A6_star_1B9;231
CYP2C19_star_1C;231
homozygous_G6PD_haplotype_A-_202A__376G;0
CYP2C19_star_1B;231
CYP2C19_star_1A;232
SULT1A1_star_5;231
homozygous_COMT_Haplotype_low_activity;231
CYP2C19_star_22;231
CYP2D6_star_1;265
CYP2C19_star_23;231
CYP2D6_star_2;286
CYP2C19_star_24;231
CYP2C19_star_25;231
CYP2D6_star_4;231
CYP2C19_star_26;231
CYP2C19_star_27;231
CYP2C19_star_2B;231
homozygous_TPMT_star_24_PMID__18708949_;231
CYP2C19_star_2A;231
CYP2C19_star_2D;231
CYP2C19_star_2C;231
homozygous_CYP2B6_star_15B;231
homozygous_CYP2D6_star_41;231
homozygous_CYP2B6_star_15A;0
G6PD_haplotype_Mediterranean;231
homozygous_CYP2B6_star_5B;231
homozygous_CYP2B6_star_5C;231
COMT_Haplotype_high_activity;232
homozygous_CYP2B6_star_5A;231
homozygous_SULT1A1_star_3;231
BRCA1_3_hash;231
CYP2C9_star_12;232
homozygous_SULT1A1_star_2;0
CYP2C9_star_11;232
homozygous_SULT1A1_star_1;0
CYP2C9_star_14;231
CYP2C9_star_13;231
homozygous_CYP2A6_star_12C;231
CYP2C9_star_10;231
homozygous_CYP2A6_star_12B;231
homozygous_CYP2A6_star_12A;231
homozygous_CYP2B6_star_4C;231
homozygous_CYP2B6_star_4D;231
homozygous_CYP2B6_star_4A;0
CYP2C9_star_19;231
homozygous_CYP2B6_star_4B;231
CYP2C9_star_17;231
homozygous_SULT1A1_star_5;0
CYP2C9_star_18;231
CYP2C9_star_15;231
CYP2C9_star_16;231
CYP2D6_star_10;231
CYP2C9_star_23;231
CYP2C9_star_22;231
CYP2C9_star_21;231
CYP2D6_star_17;231
CYP2C9_star_20;231
BRCA1_5_hash;281
CYP2C9_star_26;231
CYP2C9_star_27;231
CYP2C9_star_28;231
CYP2C9_star_29;231
homozygous_TPMT_star_10;231
homozygous_TPMT_star_12;231
homozygous_TPMT_star_11;231
homozygous_TPMT_star_14;231
homozygous_TPMT_star_13;231
homozygous_TPMT_star_16;231
homozygous_TPMT_star_15;231
homozygous_TPMT_star_18;231
CYP2C9_star_30;231
homozygous_TPMT_star_17;231
CYP2C9_star_32;231
CYP2C9_star_31;231
CYP2D6_star_29;231
CYP2C9_star_34;342
CYP2C9_star_33;231
G6PD_haplotype_B__wildtype_;231
homozygous_CYP2B6_star_2A;0
homozygous_CYP2B6_star_2B;231
homozygous_ABCB1_star_13__per_Kroetz_et_al._2003__PMID__12893986__;231
homozygous_CYP2B6_star_29;231
homozygous_CYP2B6_star_27;231
homozygous_CYP2B6_star_28;231
homozygous_TPMT_star_23;231
homozygous_CYP2B6_star_26;231
homozygous_TPMT_star_22;231
homozygous_CYP2B6_star_25;231
homozygous_TPMT_star_21;231
homozygous_CYP2B6_star_24;231
homozygous_CYP2B6_star_23;231
homozygous_CYP2B6_star_22;231
homozygous_CYP2A6_star_3;231
homozygous_CYP2B6_star_21;231
homozygous_CYP2A6_star_2;231
homozygous_TPMT_star_25;231
homozygous_CYP2B6_star_20;231
homozygous_CYP2B6_star_1N;231
homozygous_CYP2B6_star_1M;231
homozygous_CYP2A6_star_7;0
homozygous_CYP2B6_star_1L;231
homozygous_CYP2A6_star_6;0
homozygous_CYP2B6_star_1K;231
homozygous_CYP2A6_star_5;0
homozygous_CYP2B6_star_1J;231
homozygous_CYP2B6_star_1H;231
homozygous_CYP2B6_star_1G;231
homozygous_CYP2B6_star_1F;231
homozygous_CYP2A6_star_8;231
homozygous_CYP2A6_star_9B;231
homozygous_CYP2A6_star_9A;0
homozygous_TPMT_star_3B;231
homozygous_TPMT_star_3A;0
homozygous_TPMT_star_3D;231
homozygous_TPMT_star_3C;231
TPMT_star_25;231
homozygous_CYP2C19_star_8;0
homozygous_CYP2C19_star_9;231
TPMT_star_21;231
TPMT_star_22;231
TPMT_star_23;231
homozygous_CYP2A6_star_1X2A;231
homozygous_CYP2A6_star_1X2B;231
homozygous_CYP2C19_star_2;0
HMGCR_H2;234
homozygous_CYP2C19_star_6;231
CYP2D6_star_41;231
HMGCR_H7;234
homozygous_CYP2C19_star_7;0
CYP2B6_star_11A;234
homozygous_UGT1A1_star_60c;231
UGT1A1_star_60c;231
G6PD_haplotype_A-_680T__376G;231
ABCB1_star_13;231
CYP2B6_star_11B;231
COMT_Haplotype_low_activity;231
TPMT_star_16;231
TPMT_star_17;231
TPMT_star_14;231
TPMT_star_15;231
TPMT_star_12;231
homozygous_BRCA1_4;231
TPMT_star_13;231
homozygous_BRCA1_3;231
TPMT_star_10;231
homozygous_BRCA1_2;231
TPMT_star_11;231
homozygous_BRCA1_1;0
homozygous_BRCA1_8;231
homozygous_BRCA1_7;231
homozygous_BRCA1_6;231
homozygous_BRCA1_5;231
TPMT_star_18;231
homozygous_BRCA1_9;231
homozygous_CYP2B6_star_7A;231
TPMT_star_3C;231
TPMT_star_3B;231
homozygous_CYP2B6_star_7B;231
ADRB1_H3;231
TPMT_star_3D;231
ADRB1_H2;231
ADRB1_H1;331
homozygous_CYP2A6_star_18B;231
homozygous_CYP2A6_star_18A;0
homozygous_CYP2A6_star_18C;231
homozygous_CYP2B6_star_6B;231
homozygous_CYP2B6_star_6A;231
CYP2B6_star_13B;231
CYP2B6_star_13A;231
homozygous_TPMT_star_20_PMID_16946561_;231
homozygous_CYP2B6_star_6C;231
ABCB1_star_2__per_Kroetz_et_al._2003__PMID__12893986__;231
TPMT_star_3A;237
ABCB1_star_2__per_Kim_et_al._2001__PMID__11503014__;231
homozygous_HMGCR_H7;0
homozygous_HMGCR_H2;0
homozygous_G6PD_haplotype_A-_968C__376G;0
homozygous_ABCB1_star_2__per_Kroetz_et_al._2003__PMID__12893986__;231
CYP2A6_star_1B10;231
CYP2A6_star_1B12;231
CYP2A6_star_1B11;231
CYP2A6_star_1B14;231
CYP2A6_star_1B13;231
CYP2A6_star_1B15;231
CYP2A6_star_1B16;231
CYP2A6_star_1B17;231
homozygous_ABCB1_star_2__per_Kim_et_al._2001__PMID__11503014__;231
CYP2B6_star_15B;231
CYP2B6_star_15A;231
CYP1A2_star_1F;342
CYP1A2_star_1E;231
COMT_Haplotype_intermediate_activity;231
CYP1A2_star_1C;231
CYP1A2_star_1J;231
CYP1A2_star_1H;231
CYP1A2_star_1G;231
CYP1A2_star_1B;343
CYP1A2_star_1A;342
CYP1A2_star_1K;231
homozygous_G6PD_haplotype_A-_680T__376G;231
CYP1A2_star_20;231
CYP1A2_star_21;231
ABCB1_star_1;278
P2RY12_H2;231
CYP1A2_star_13;231
TPMT_star_8;231
CYP1A2_star_14;231
TPMT_star_7;231
CYP1A2_star_15;231
TPMT_star_6;231
CYP1A2_star_16;231
TPMT_star_5;231
CYP1A2_star_17;231
TPMT_star_4;231
CYP1A2_star_18;231
BRCA1_1;281
CYP1A2_star_19;231
BRCA1_2;231
TPMT_star_2;231
BRCA1_3;231
TPMT_star_1;343
CYP2B6_star_17A;231
BRCA1_4;231
BRCA1_5;231
BRCA1_6;231
CYP2B6_star_17B;231
BRCA1_7;231
BRCA1_8;231
CYP1A2_star_10;231
BRCA1_9;231
CYP1A2_star_11;339
CYP1A2_star_12;231
TPMT_star_9;231
homozygous_CYP2A6_star_13;231
homozygous_CYP2C19_star_2D;231
homozygous_CYP2A6_star_14;231
homozygous_CYP2C19_star_2C;231
homozygous_CYP2A6_star_11;231
homozygous_CYP2C19_star_2B;231
homozygous_CYP2A6_star_10;231
homozygous_CYP1A2_star_9;231
homozygous_CYP1A2_star_7;0
CYP2B6_star_3;231
homozygous_CYP1A2_star_8;231
CYP2B6_star_8;231
CYP2B6_star_9;274
homozygous_CYP1A2_star_2;0
homozygous_CYP2A6_star_1D;231
homozygous_CYP2A6_star_1C;231
homozygous_CYP2A6_star_1A;0
homozygous_CYP1A2_star_6;0
homozygous_CYP1A2_star_5;231
homozygous_CYP1A2_star_4;0
homozygous_CYP1A2_star_3;231
homozygous_CYP2A6_star_19;231
homozygous_CYP2C19_star_3A;0
homozygous_CYP2C19_star_3B;231
homozygous_CYP2A6_star_17;0
homozygous_CYP2A6_star_16;231
homozygous_CYP2A6_star_15;231
homozygous_CYP2C19_star_1B;231
homozygous_CYP2C19_star_1A;0
homozygous_CYP2C19_star_1C;231
homozygous_CYP2A6_star_1J;231
homozygous_CYP2A6_star_1K;231
homozygous_CYP2A6_star_1L;231
homozygous_CYP2A6_star_1E;231
homozygous_CYP2A6_star_1F;231
homozygous_CYP2A6_star_1G;231
homozygous_CYP2A6_star_1H;231
homozygous_G6PD_haplotype_Mediterranean;0
homozygous_CYP2C19_star_22;231
homozygous_CYP2C19_star_23;231
homozygous_CYP2C19_star_24;231
homozygous_CYP2C19_star_25;231
homozygous_CYP2C19_star_26;231
CYP2A6_star_12A;231
homozygous_CYP2C19_star_27;0
CYP2A6_star_12C;231
CYP2A6_star_12B;231
homozygous_CYP2B6_star_11B;231
homozygous_CYP2B6_star_11A;0
homozygous_CYP2C19_star_2A;231
CYP2A6_star_1K;231
CYP2A6_star_1J;231
CYP2A6_star_1L;231
CYP2A6_star_1G;231
CYP2A6_star_1X2B;231
CYP2A6_star_1F;231
CYP2A6_star_1X2A;231
CYP2A6_star_1H;231
CYP2A6_star_2;231
CYP2A6_star_16;231
CYP2A6_star_17;232
CYP2A6_star_19;231
homozygous_ABCB1_star_1;0
CYP2A6_star_1C;231
homozygous_CYP2C19_star_5A;0
CYP2A6_star_7;232
CYP2A6_star_1D;231
homozygous_CYP2C19_star_5B;231
CYP2A6_star_8;231
CYP2A6_star_1E;231
CYP2A6_star_5;239
CYP2A6_star_6;231
CYP2A6_star_3;231
CYP2A6_star_1A;239
CYP2A6_star_15;231
CYP2A6_star_14;231
CYP2A6_star_13;231
CYP2A6_star_11;231
CYP2A6_star_10;231
homozygous_CYP2C19_star_4A;0
homozygous_CYP2C19_star_4B;231
homozygous_CYP2B6_star_13B;231
homozygous_P2RY12_H2;0
homozygous_CYP2B6_star_13A;231
